"filename", "language", "JSON with Comments", "JavaScript", "Batch", "Markdown", "JSON", "HTML", "CSS", "Database", "XML", "CSV", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\forcemarry.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\get.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\give.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 77
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\givemeallroles.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 32
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\permstun.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 27
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\pull.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 22
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\purge.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 51
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\reload.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 32
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\remove.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\say.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\set.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 64
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\setprefix.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\spawn.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\stun.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\take.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 67
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\unstun.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\defend.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 44
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\deprive.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 55
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\disown.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 68
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\downgrade.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\dragon.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 57
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\dragonalias.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 84
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\feed.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 90
