Date : 2022-02-09 12:46:41
Directory : c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite
Total : 204 files,  24282 codes, 872 comments, 4459 blanks, all 29613 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\pull.js                              | JavaScript         |         20 |          1 |          1 |         22 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\purge.js                             | JavaScript         |         48 |          2 |          1 |         51 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\reload.js                            | JavaScript         |         29 |          2 |          1 |         32 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\remove.js                            | JavaScript         |         41 |          0 |          0 |         41 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\say.js                               | JavaScript         |         15 |          0 |          1 |         16 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\set.js                               | JavaScript         |         62 |          1 |          1 |         64 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\setprefix.js                         | JavaScript         |         31 |          0 |          2 |         33 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\spawn.js                             | JavaScript         |         24 |          0 |          1 |         25 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\stun.js                              | JavaScript         |         22 |          0 |          0 |         22 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\take.js                              | JavaScript         |         65 |          0 |          2 |         67 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\unstun.js                            | JavaScript         |         25 |          0 |          1 |         26 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\defend.js                           | JavaScript         |         42 |          1 |          1 |         44 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\deprive.js                          | JavaScript         |         53 |          1 |          1 |         55 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\disown.js                           | JavaScript         |         65 |          2 |          1 |         68 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\downgrade.js                        | JavaScript         |         46 |          0 |          1 |         47 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\dragon.js                           | JavaScript         |         54 |          2 |          1 |         57 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\dragonalias.js                      | JavaScript         |         79 |          3 |          2 |         84 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\feed.js                             | JavaScript         |         88 |          0 |          2 |         90 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\fish.js                             | JavaScript         |         84 |          1 |          2 |         87 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\name.js                             | JavaScript         |         28 |          0 |          1 |         29 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\search.js                           | JavaScript         |        112 |          2 |          2 |        116 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\stroke.js                           | JavaScript         |         27 |          0 |          1 |         28 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\tame.js                             | JavaScript         |         26 |          0 |          1 |         27 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\dragon\upgrade.js                          | JavaScript         |         32 |          1 |          1 |         34 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\balance.js                         | JavaScript         |         20 |          0 |          1 |         21 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\buy.js                             | JavaScript         |         62 |          7 |          4 |         73 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\coinflip.js                        | JavaScript         |         57 |          0 |          1 |         58 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\daily.js                           | JavaScript         |         57 |          1 |          1 |         59 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\deposit.js                         | JavaScript         |         40 |          0 |          1 |         41 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\divorce.js                         | JavaScript         |         68 |          1 |          3 |         72 |
