"filename", "language", "JSON", "JavaScript", "Markdown", "Batch", "Database", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\rolemembers.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 49
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\rolename.js", "JavaScript", 0, 33, 0, 0, 0, 0, 4, 37
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\say.js", "JavaScript", 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\search.js", "JavaScript", 0, 120, 0, 0, 0, 1, 3, 124
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\sell.js", "JavaScript", 0, 80, 0, 0, 0, 1, 2, 83
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\sentence.js", "JavaScript", 0, 62, 0, 0, 0, 1, 4, 67
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\set.js", "JavaScript", 0, 59, 0, 0, 0, 2, 1, 62
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\setprefix.js", "JavaScript", 0, 20, 0, 0, 0, 5, 2, 27
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\shop.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\slowmode.js", "JavaScript", 0, 38, 0, 0, 0, 0, 1, 39
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\snipe.js", "JavaScript", 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\source.js", "JavaScript", 0, 32, 0, 0, 0, 0, 1, 33
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\spawn.js", "JavaScript", 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\spouse.js", "JavaScript", 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\steal.js", "JavaScript", 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\stroke.js", "JavaScript", 0, 42, 0, 0, 0, 0, 1, 43
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\stun.js", "JavaScript", 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\submit.js", "JavaScript", 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\suggest.js", "JavaScript", 0, 32, 0, 0, 0, 0, 2, 34
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\support.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\take.js", "JavaScript", 0, 64, 0, 0, 0, 0, 2, 66
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\tame.js", "JavaScript", 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\trade.js", "JavaScript", 0, 153, 0, 0, 0, 9, 15, 177
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\transferdata.js", "JavaScript", 0, 37, 0, 0, 0, 0, 2, 39
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\unban.js", "JavaScript", 0, 31, 0, 0, 0, 0, 3, 34
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\unmute.js", "JavaScript", 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\unpunish.js", "JavaScript", 0, 59, 0, 0, 0, 0, 1, 60
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\unstun.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 17
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\updates.js", "JavaScript", 0, 33, 0, 0, 0, 0, 1, 34
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\upgrade.js", "JavaScript", 0, 47, 0, 0, 0, 1, 2, 50
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\upgrs.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\urban.js", "JavaScript", 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\userinfo.js", "JavaScript", 0, 77, 0, 0, 0, 0, 3, 80
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\vault.js", "JavaScript", 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\viewreplacer.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\vupgrade.js", "JavaScript", 0, 55, 0, 0, 0, 0, 3, 58
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\warn.js", "JavaScript", 0, 38, 0, 0, 0, 0, 5, 43
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\withdraw.js", "JavaScript", 0, 31, 0, 0, 0, 0, 2, 33
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\config.js", "JavaScript", 0, 518, 0, 0, 0, 154, 10, 682
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\database.sqlite", "Database", 0, 0, 0, 0, 46, 0, 0, 46
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\db.sqlite", "Database", 0, 0, 0, 0, 64, 0, 2, 66
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\.eslintrc.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 49
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\8ball.js", "JavaScript", 0, 41, 0, 0, 0, 0, 2, 43
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\accept.js", "JavaScript", 0, 32, 0, 0, 0, 0, 1, 33
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\addcredits.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\addemoji.js", "JavaScript", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\addreplacer.js", "JavaScript", 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\addrole.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\apply.js", "JavaScript", 0, 60, 0, 0, 0, 2, 1, 63
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\approve.js", "JavaScript", 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\avatar.js", "JavaScript", 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\balance.js", "JavaScript", 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\ban.js", "JavaScript", 0, 45, 0, 0, 0, 1, 4, 50
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\banlist.js", "JavaScript", 0, 39, 0, 0, 0, 1, 1, 41
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\bio.js", "JavaScript", 0, 29, 0, 0, 0, 0, 2, 31
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\boost.js", "JavaScript", 0, 59, 0, 0, 0, 0, 1, 60
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\bug.js", "JavaScript", 0, 40, 0, 0, 0, 0, 1, 41
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\buy.js", "JavaScript", 0, 52, 0, 0, 0, 7, 4, 63
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\calculate.js", "JavaScript", 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\cat.js", "JavaScript", 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\clrs.js", "JavaScript", 0, 22, 0, 0, 0, 1, 1, 24
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\cmd.js", "JavaScript", 0, 41, 0, 0, 0, 1, 1, 43
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\coinflip.js", "JavaScript", 0, 41, 0, 0, 0, 0, 1, 42
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\economist-rewrite-3e9608159795494838f734233cb0e727b69aa57f\cmds\color.js", "JavaScript", 0, 42, 0, 0, 0, 0, 4, 46
