"filename", "language", "JSON", "Markdown", "JavaScript", "Batch", "Database", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\transferdata.js", "JavaScript", 0, 0, 37, 0, 0, 0, 2, 39
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\unban.js", "JavaScript", 0, 0, 31, 0, 0, 0, 3, 34
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\unmute.js", "JavaScript", 0, 0, 30, 0, 0, 0, 1, 31
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\unpunish.js", "JavaScript", 0, 0, 54, 0, 0, 1, 2, 57
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\unstun.js", "JavaScript", 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\updates.js", "JavaScript", 0, 0, 33, 0, 0, 0, 1, 34
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\upgrade.js", "JavaScript", 0, 0, 47, 0, 0, 1, 2, 50
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\upgrs.js", "JavaScript", 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\urban.js", "JavaScript", 0, 0, 30, 0, 0, 0, 2, 32
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\userinfo.js", "JavaScript", 0, 0, 77, 0, 0, 0, 3, 80
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\vault.js", "JavaScript", 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\viewreplacer.js", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\vupgrade.js", "JavaScript", 0, 0, 55, 0, 0, 0, 3, 58
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\warn.js", "JavaScript", 0, 0, 38, 0, 0, 0, 5, 43
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\withdraw.js", "JavaScript", 0, 0, 31, 0, 0, 0, 2, 33
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\config.js", "JavaScript", 0, 0, 499, 0, 0, 144, 11, 654
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\db.sqlite", "Database", 0, 0, 0, 0, 46, 0, 1, 47
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\index.js", "JavaScript", 0, 0, 689, 0, 0, 70, 41, 800
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\package-lock.json", "JSON", 7890, 0, 0, 0, 0, 0, 1, 7891
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\package.json", "JSON", 61, 0, 0, 0, 0, 0, 1, 62
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\petaliases.json", "JSON", 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\start.bat", "Batch", 0, 0, 0, 2, 0, 0, 0, 2
"Total", "-", 8023, 2, 6141, 2, 46, 324, 306, 14844
